EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 3,Erin Blanchfield,0,26 of 55,47%,49 of 83,0 of 6,0%,0,0,2:45,18 of 45,7 of 9,1 of 1,18 of 44,8 of 11,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 1,Taila Santos,0,25 of 71,35%,31 of 80,0 of 0,---,0,0,0:06,13 of 56,5 of 8,7 of 7,21 of 63,4 of 8,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 2,Taila Santos,0,11 of 24,45%,32 of 48,0 of 1,0%,0,0,0:03,5 of 16,2 of 4,4 of 4,8 of 19,3 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Round 3,Taila Santos,0,19 of 56,33%,33 of 74,0 of 2,0%,0,0,0:00,10 of 46,2 of 3,7 of 7,17 of 51,2 of 5,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Round 1,Junior Tafa,1,8 of 13,61%,11 of 16,0 of 0,---,0,0,0:04,7 of 12,1 of 1,0 of 0,4 of 7,4 of 6,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Round 1,Parker Porter,0,2 of 9,22%,3 of 10,0 of 1,0%,0,0,0:17,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Round 1,Waldo Cortes-Acosta,1,15 of 45,33%,16 of 46,0 of 0,---,0,0,0:00,9 of 36,3 of 5,3 of 4,12 of 42,3 of 3,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Round 1,Lukasz Brzeski,0,14 of 22,63%,15 of 23,0 of 0,---,0,0,0:00,1 of 7,3 of 3,10 of 12,14 of 22,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Round 1,Toshiomi Kazama,0,15 of 31,48%,15 of 31,0 of 2,0%,0,0,0:00,8 of 24,3 of 3,4 of 4,15 of 30,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Round 1,Garrett Armfield,1,45 of 77,58%,45 of 77,0 of 0,---,0,0,0:26,36 of 67,9 of 10,0 of 0,40 of 68,0 of 0,5 of 9
